,,,Risk-Neutral,Risk-Averse,,Risk-Neutral (1000),Risk-Averse,
,,,,"(0.95, 0.95)","(0.95, 0.7)",,"(0.95, 0.95)","(0.95, 0.7)"
In-Sample Analysis,Joint,Optimal Value,9.46E+05,7.78E+05,7.78E+05,946,778.45,778.45
,Disjoint,Optimal Storage,7.12E+04,5.98E+04,6.26E+04,71.2,59.831,62.579
,,Optimal Wind,8.75E+05,7.09E+05,7.09E+05,875,709.04,709.04
,,Optimal Sum,9.46E+05,7.69E+05,7.72E+05,946,768.87,771.62
,Value for RES,,7.12E+04,6.94E+04,6.94E+04,71.2,69.41,69.41
,Value for Arbitrageur,,7.12E+04,5.98E+04,6.26E+04,71.2,59.831,62.579
Out-of-Sample Analysis,Joint,Avg Optimal Value,9.47E+05,8.84E+05,8.84E+05,947,883.65,883.65
,,SVD,9.43E+04,5.18E+04,5.18E+04,94.3,51.767,51.767
,Disjoint,Avg Optimal Storage,7.14E+04,6.95E+04,6.98E+04,71.4,69.48,69.793
,,SVD storage,9.22E+03,7.47E+03,7.43E+03,9.22,7.469,7.4264
,,Avg Wind,8.75E+05,8.00E+05,8.00E+05,875,800.36,800.36
,,SVD wind,9.28E+04,4.40E+04,4.40E+04,92.8,43.984,43.984
,,Avg Sum,9.47E+05,8.70E+05,8.70E+05,947,869.84,870.153
,,SVD Sum,9.43E+04,4.62E+04,5.14E+04,94.3,46.206,51.4104
,Value for RES,Avg,7.14E+04,8.33E+04,8.33E+04,71.4,83.283,83.283
,,SVD,9.22E+03,1.34E+04,1.34E+04,9.22,13.443,13.443
,Value for Arbitrageur,Avg,7.14E+04,6.95E+04,6.98E+04,71.4,69.48,69.793
,,SVD,9.22E+03,7.47E+03,7.43E+03,9.22,7.469,7.4264
