Time (Hour-Ending),ERCOT.WIND.GEN,"Total Wind Installed, MW","Wind Output, % of Installed",ERCOT.PVGR.GEN,"Total Solar Installed, MW","Solar Output, % of Installed"
01/01/2022 01:00:00,12067,34173,35.31,0,9323,0.00
01/01/2022 02:00:00,12884,34173,37.70,0,9323,0.00
01/01/2022 03:00:00,14367,34173,42.04,0,9323,0.00
01/01/2022 04:00:00,16463,34173,48.18,0,9323,0.00
01/01/2022 05:00:00,18338,34173,53.66,0,9323,0.00
01/01/2022 06:00:00,18163,34173,53.15,0,9323,0.00
01/01/2022 07:00:00,18539,34173,54.25,0,9323,0.00
01/01/2022 08:00:00,18307,34173,53.57,7,9323,0.08
01/01/2022 09:00:00,17300,34173,50.62,1344,9323,14.42
01/01/2022 10:00:00,16916,34173,49.50,3459,9323,37.10
01/01/2022 11:00:00,17691,34173,51.77,3243,9323,34.79
01/01/2022 12:00:00,17782,34173,52.03,2691,9323,28.87
01/01/2022 13:00:00,16340,34173,47.81,3590,9323,38.51
01/01/2022 14:00:00,14858,34173,43.48,4742,9323,50.86
01/01/2022 15:00:00,14037,34173,41.08,5070,9323,54.39
01/01/2022 16:00:00,14345,34173,41.98,4632,9323,49.68
01/01/2022 17:00:00,16891,34173,49.43,2013,9323,21.59
01/01/2022 18:00:00,18794,34173,55.00,232,9323,2.49
01/01/2022 19:00:00,19858,34173,58.11,0,9323,0.00
01/01/2022 20:00:00,20443,34173,59.82,0,9323,0.00
01/01/2022 21:00:00,20859,34173,61.04,0,9323,0.00
01/01/2022 22:00:00,21379,34173,62.56,0,9323,0.00
01/01/2022 23:00:00,21761,34173,63.68,0,9323,0.00
01/02/2022 00:00:00,21549,34173,63.06,0,9323,0.00
01/02/2022 01:00:00,20688,34173,60.54,0,9323,0.00
01/02/2022 02:00:00,19945,34173,58.37,0,9323,0.00
01/02/2022 03:00:00,19967,34173,58.43,0,9323,0.00
01/02/2022 04:00:00,20257,34173,59.28,0,9323,0.00
01/02/2022 05:00:00,20746,34173,60.71,0,9323,0.00
01/02/2022 06:00:00,20299,34173,59.40,0,9323,0.00
01/02/2022 07:00:00,19939,34173,58.35,0,9323,0.00
01/02/2022 08:00:00,19362,34173,56.66,17,9323,0.18
01/02/2022 09:00:00,17962,34173,52.56,1863,9323,19.98
01/02/2022 10:00:00,15776,34173,46.17,5495,9323,58.94
01/02/2022 11:00:00,13000,34173,38.04,6236,9323,66.89
01/02/2022 12:00:00,10892,34173,31.87,6052,9323,64.91
01/02/2022 13:00:00,10503,34173,30.73,6222,9323,66.74
01/02/2022 14:00:00,9621,34173,28.15,6476,9323,69.46
01/02/2022 15:00:00,8679,34173,25.40,6796,9323,72.89
01/02/2022 16:00:00,7611,34173,22.27,6831,9323,73.27
01/02/2022 17:00:00,6175,34173,18.07,5169,9323,55.44
01/02/2022 18:00:00,5080,34173,14.87,956,9323,10.25
01/02/2022 19:00:00,4875,34173,14.26,0,9323,0.00
01/02/2022 20:00:00,4815,34173,14.09,0,9323,0.00
01/02/2022 21:00:00,4928,34173,14.42,0,9323,0.00
01/02/2022 22:00:00,4976,34173,14.56,0,9323,0.00
01/02/2022 23:00:00,4909,34173,14.36,0,9323,0.00
01/03/2022 00:00:00,4851,34173,14.19,0,9323,0.00
01/03/2022 01:00:00,4907,34173,14.36,0,9323,0.00
01/03/2022 02:00:00,5009,34173,14.66,0,9323,0.00
01/03/2022 03:00:00,5128,34173,15.01,0,9323,0.00
01/03/2022 04:00:00,5293,34173,15.49,0,9323,0.00
01/03/2022 05:00:00,5672,34173,16.60,0,9323,0.00
01/03/2022 06:00:00,6329,34173,18.52,0,9323,0.00
01/03/2022 07:00:00,6560,34173,19.20,0,9323,0.00
01/03/2022 08:00:00,7029,34173,20.57,64,9323,0.69
01/03/2022 09:00:00,7639,34173,22.35,2570,9323,27.56
01/03/2022 10:00:00,5750,34173,16.83,6650,9323,71.33
01/03/2022 11:00:00,4225,34173,12.36,7084,9323,75.98
01/03/2022 12:00:00,5174,34173,15.14,6770,9323,72.61
01/03/2022 13:00:00,6505,34173,19.04,6567,9323,70.44
01/03/2022 14:00:00,7276,34173,21.29,6668,9323,71.52
01/03/2022 15:00:00,8050,34173,23.56,6978,9323,74.85
01/03/2022 16:00:00,9179,34173,26.86,6695,9323,71.81
01/03/2022 17:00:00,9580,34173,28.03,4142,9323,44.42
01/03/2022 18:00:00,9630,34173,28.18,569,9323,6.11
01/03/2022 19:00:00,13319,34173,38.98,0,9323,0.00
01/03/2022 20:00:00,17740,34173,51.91,0,9323,0.00
01/03/2022 21:00:00,20555,34173,60.15,0,9323,0.00
01/03/2022 22:00:00,20723,34173,60.64,0,9323,0.00
01/03/2022 23:00:00,20665,34173,60.47,0,9323,0.00
01/04/2022 00:00:00,20612,34173,60.32,0,9323,0.00
01/04/2022 01:00:00,20468,34173,59.89,0,9323,0.00
01/04/2022 02:00:00,20226,34173,59.19,0,9323,0.00
01/04/2022 03:00:00,19675,34173,57.57,0,9323,0.00
01/04/2022 04:00:00,19265,34173,56.38,0,9323,0.00
01/04/2022 05:00:00,19350,34173,56.62,0,9323,0.00
01/04/2022 06:00:00,19921,34173,58.30,0,9323,0.00
01/04/2022 07:00:00,19800,34173,57.94,0,9323,0.00
01/04/2022 08:00:00,19543,34173,57.19,50,9323,0.54
01/04/2022 09:00:00,18679,34173,54.66,1275,9323,13.68
01/04/2022 10:00:00,17128,34173,50.12,3248,9323,34.84
01/04/2022 11:00:00,16899,34173,49.45,3977,9323,42.65
01/04/2022 12:00:00,17998,34173,52.67,3868,9323,41.49
01/04/2022 13:00:00,18320,34173,53.61,3748,9323,40.21
01/04/2022 14:00:00,18105,34173,52.98,3887,9323,41.69
01/04/2022 15:00:00,17633,34173,51.60,4009,9323,43.00
01/04/2022 16:00:00,17044,34173,49.87,4376,9323,46.93
01/04/2022 17:00:00,15521,34173,45.42,4512,9323,48.40
01/04/2022 18:00:00,13985,34173,40.92,934,9323,10.02
01/04/2022 19:00:00,14751,34173,43.16,0,9323,0.00
01/04/2022 20:00:00,17123,34173,50.11,0,9323,0.00
01/04/2022 21:00:00,17881,34173,52.33,0,9323,0.00
01/04/2022 22:00:00,17801,34173,52.09,0,9323,0.00
01/04/2022 23:00:00,17456,34173,51.08,0,9323,0.00
01/05/2022 00:00:00,16091,34173,47.09,0,9323,0.00
01/05/2022 01:00:00,15193,34173,44.46,0,9325,0.00
01/05/2022 02:00:00,14766,34173,43.21,0,9325,0.00
01/05/2022 03:00:00,14632,34173,42.82,0,9325,0.00
01/05/2022 04:00:00,16355,34173,47.86,0,9325,0.00
01/05/2022 05:00:00,17353,34173,50.78,0,9325,0.00
01/05/2022 06:00:00,17842,34173,52.21,0,9325,0.00
01/05/2022 07:00:00,18196,34173,53.25,0,9325,0.00
01/05/2022 08:00:00,18339,34173,53.67,36,9325,0.39
01/05/2022 09:00:00,16565,34173,48.47,2201,9325,23.60
01/05/2022 10:00:00,13494,34173,39.49,6099,9325,65.41
01/05/2022 11:00:00,10981,34173,32.13,6637,9325,71.17
01/05/2022 12:00:00,7615,34173,22.28,6517,9325,69.88
01/05/2022 13:00:00,4900,34173,14.34,6391,9325,68.53
01/05/2022 14:00:00,3363,34173,9.84,6467,9325,69.35
01/05/2022 15:00:00,3095,34173,9.06,6735,9325,72.23
01/05/2022 16:00:00,3279,34173,9.59,6745,9325,72.33
01/05/2022 17:00:00,4165,34173,12.19,5191,9325,55.67
01/05/2022 18:00:00,4545,34173,13.30,1030,9325,11.05
01/05/2022 19:00:00,5626,34173,16.46,0,9325,0.00
01/05/2022 20:00:00,6514,34173,19.06,0,9325,0.00
01/05/2022 21:00:00,7923,34173,23.18,0,9325,0.00
01/05/2022 22:00:00,9570,34173,28.00,0,9325,0.00
01/05/2022 23:00:00,11863,34173,34.72,0,9325,0.00
01/06/2022 00:00:00,14248,34173,41.69,0,9325,0.00
01/06/2022 01:00:00,14808,34173,43.33,0,9325,0.00
01/06/2022 02:00:00,15346,34173,44.91,0,9325,0.00
01/06/2022 03:00:00,15832,34173,46.33,0,9325,0.00
01/06/2022 04:00:00,14931,34173,43.69,0,9325,0.00
01/06/2022 05:00:00,16561,34173,48.46,0,9325,0.00
01/06/2022 06:00:00,18240,34173,53.38,0,9325,0.00
01/06/2022 07:00:00,19540,34173,57.18,0,9325,0.00
01/06/2022 08:00:00,20290,34173,59.38,35,9325,0.37
01/06/2022 09:00:00,19579,34173,57.29,1335,9325,14.31
01/06/2022 10:00:00,18201,34173,53.26,3069,9325,32.91
01/06/2022 11:00:00,17101,34173,50.04,4277,9325,45.87
01/06/2022 12:00:00,15475,34173,45.28,5599,9325,60.04
01/06/2022 13:00:00,13946,34173,40.81,6435,9325,69.01
01/06/2022 14:00:00,10886,34173,31.86,6664,9325,71.47
01/06/2022 15:00:00,8110,34173,23.73,6979,9325,74.84
01/06/2022 16:00:00,6855,34173,20.06,6890,9325,73.89
01/06/2022 17:00:00,6039,34173,17.67,5138,9325,55.10
01/06/2022 18:00:00,6074,34173,17.77,1088,9325,11.67
01/06/2022 19:00:00,7331,34173,21.45,1,9325,0.01
01/06/2022 20:00:00,8785,34173,25.71,0,9325,0.00
01/06/2022 21:00:00,9564,34173,27.99,0,9325,0.00
01/06/2022 22:00:00,10052,34173,29.41,0,9325,0.00
01/06/2022 23:00:00,9778,34173,28.61,0,9325,0.00
01/07/2022 00:00:00,9565,34173,27.99,0,9325,0.00
01/07/2022 01:00:00,9243,34374,26.89,0,9325,0.00
01/07/2022 02:00:00,9096,34374,26.46,0,9325,0.00
01/07/2022 03:00:00,8979,34374,26.12,0,9325,0.00
01/07/2022 04:00:00,8612,34374,25.05,0,9325,0.00
01/07/2022 05:00:00,8664,34374,25.21,0,9325,0.00
01/07/2022 06:00:00,8951,34374,26.04,0,9325,0.00
01/07/2022 07:00:00,8882,34374,25.84,0,9325,0.00
01/07/2022 08:00:00,8882,34374,25.84,27,9325,0.29
01/07/2022 09:00:00,7966,34374,23.18,1953,9325,20.94
01/07/2022 10:00:00,6326,34374,18.40,5678,9325,60.89
01/07/2022 11:00:00,6219,34374,18.09,6247,9325,66.99
01/07/2022 12:00:00,7030,34374,20.45,6059,9325,64.98
01/07/2022 13:00:00,8526,34374,24.80,5934,9325,63.64
01/07/2022 14:00:00,10127,34374,29.46,5849,9325,62.73
01/07/2022 15:00:00,11139,34374,32.40,5899,9325,63.26
01/07/2022 16:00:00,12127,34374,35.28,5811,9325,62.32
01/07/2022 17:00:00,13195,34374,38.39,4521,9325,48.48
01/07/2022 18:00:00,14058,34374,40.90,1037,9325,11.12
01/07/2022 19:00:00,17244,34374,50.17,1,9325,0.01
01/07/2022 20:00:00,19658,34374,57.19,0,9325,0.00
01/07/2022 21:00:00,19581,34374,56.96,0,9325,0.00
01/07/2022 22:00:00,19732,34374,57.40,0,9325,0.00
01/07/2022 23:00:00,19635,34374,57.12,0,9325,0.00
01/08/2022 00:00:00,19542,34374,56.85,0,9325,0.00
01/08/2022 01:00:00,19383,34374,56.39,0,9325,0.00
01/08/2022 02:00:00,19206,34374,55.87,0,9325,0.00
01/08/2022 03:00:00,19157,34374,55.73,0,9325,0.00
01/08/2022 04:00:00,19114,34374,55.61,0,9325,0.00
01/08/2022 05:00:00,19098,34374,55.56,0,9325,0.00
01/08/2022 06:00:00,18781,34374,54.64,0,9325,0.00
01/08/2022 07:00:00,18017,34374,52.42,0,9325,0.00
01/08/2022 08:00:00,17633,34374,51.30,5,9325,0.06
01/08/2022 09:00:00,17577,34374,51.14,1251,9325,13.42
01/08/2022 10:00:00,15719,34374,45.73,3118,9325,33.43
01/08/2022 11:00:00,14747,34374,42.90,4301,9325,46.12
01/08/2022 12:00:00,14328,34374,41.68,4770,9325,51.15
01/08/2022 13:00:00,14342,34374,41.72,4815,9325,51.64
01/08/2022 14:00:00,14290,34374,41.57,4600,9325,49.33
01/08/2022 15:00:00,13811,34374,40.18,4992,9325,53.53
01/08/2022 16:00:00,13545,34374,39.40,5260,9325,56.41
01/08/2022 17:00:00,13836,34374,40.25,4329,9325,46.42
01/08/2022 18:00:00,12530,34374,36.45,1190,9325,12.76
01/08/2022 19:00:00,12249,34374,35.64,197,9325,2.11
01/08/2022 20:00:00,13734,34374,39.95,57,9325,0.61
01/08/2022 21:00:00,15777,34374,45.90,0,9325,0.00
01/08/2022 22:00:00,17282,34374,50.28,0,9325,0.00
01/08/2022 23:00:00,18396,34374,53.52,0,9325,0.00
01/09/2022 00:00:00,17722,34374,51.56,0,9325,0.00
01/09/2022 01:00:00,16980,34374,49.40,0,9325,0.00
01/09/2022 02:00:00,17196,34374,50.03,0,9325,0.00
01/09/2022 03:00:00,18144,34374,52.78,0,9325,0.00
01/09/2022 04:00:00,19087,34374,55.53,0,9325,0.00
01/09/2022 05:00:00,19473,34374,56.65,0,9325,0.00
01/09/2022 06:00:00,20230,34374,58.85,0,9325,0.00
01/09/2022 07:00:00,20461,34374,59.52,0,9325,0.00
01/09/2022 08:00:00,20534,34374,59.74,13,9325,0.13
01/09/2022 09:00:00,20179,34374,58.70,469,9325,5.03
01/09/2022 10:00:00,19311,34374,56.18,1097,9325,11.77
01/09/2022 11:00:00,19305,34374,56.16,1496,9325,16.04
