Hour Ending,ERCOT
01/01/2022 01:00,"38,006.94"
01/01/2022 02:00,"37,036.52"
01/01/2022 03:00,"35,881.61"
01/01/2022 04:00,"35,044.06"
01/01/2022 05:00,"34,585.57"
01/01/2022 06:00,"34,446.40"
01/01/2022 07:00,"34,724.25"
01/01/2022 08:00,"34,972.37"
01/01/2022 09:00,"35,950.37"
01/01/2022 10:00,"38,020.70"
01/01/2022 11:00,"39,972.90"
01/01/2022 12:00,"41,849.22"
01/01/2022 13:00,"43,180.19"
01/01/2022 14:00,"44,002.12"
01/01/2022 15:00,"44,251.29"
01/01/2022 16:00,"44,186.44"
01/01/2022 17:00,"44,276.64"
01/01/2022 18:00,"44,912.00"
01/01/2022 19:00,"46,030.24"
01/01/2022 20:00,"45,862.76"
01/01/2022 21:00,"45,695.83"
01/01/2022 22:00,"45,419.61"
01/01/2022 23:00,"44,716.79"
01/01/2022 24:00,"43,760.77"
01/02/2022 01:00,"42,791.76"
01/02/2022 02:00,"42,159.55"
01/02/2022 03:00,"42,022.21"
01/02/2022 04:00,"42,420.11"
01/02/2022 05:00,"43,447.62"
01/02/2022 06:00,"44,858.57"
01/02/2022 07:00,"46,788.14"
01/02/2022 08:00,"49,155.11"
01/02/2022 09:00,"51,181.49"
01/02/2022 10:00,"52,366.52"
01/02/2022 11:00,"52,121.80"
01/02/2022 12:00,"51,110.46"
01/02/2022 13:00,"49,891.37"
01/02/2022 14:00,"48,426.54"
01/02/2022 15:00,"46,947.26"
01/02/2022 16:00,"46,135.73"
01/02/2022 17:00,"46,229.31"
01/02/2022 18:00,"48,672.92"
01/02/2022 19:00,"51,634.63"
01/02/2022 20:00,"52,339.46"
01/02/2022 21:00,"52,291.55"
01/02/2022 22:00,"51,968.45"
01/02/2022 23:00,"50,629.99"
01/02/2022 24:00,"49,358.45"
01/03/2022 01:00,"48,446.75"
01/03/2022 02:00,"48,196.13"
01/03/2022 03:00,"48,321.48"
01/03/2022 04:00,"48,924.89"
01/03/2022 05:00,"50,306.61"
01/03/2022 06:00,"52,592.14"
01/03/2022 07:00,"55,596.58"
01/03/2022 08:00,"57,598.55"
01/03/2022 09:00,"56,961.42"
01/03/2022 10:00,"54,377.36"
01/03/2022 11:00,"51,544.98"
01/03/2022 12:00,"48,711.55"
01/03/2022 13:00,"46,360.05"
01/03/2022 14:00,"44,448.85"
01/03/2022 15:00,"43,060.11"
01/03/2022 16:00,"42,424.67"
01/03/2022 17:00,"42,581.43"
01/03/2022 18:00,"44,864.40"
01/03/2022 19:00,"48,021.26"
01/03/2022 20:00,"48,924.81"
01/03/2022 21:00,"49,231.48"
01/03/2022 22:00,"48,594.73"
01/03/2022 23:00,"47,004.64"
01/03/2022 24:00,"45,404.58"
01/04/2022 01:00,"44,283.58"
01/04/2022 02:00,"43,833.23"
01/04/2022 03:00,"43,820.27"
01/04/2022 04:00,"44,280.89"
01/04/2022 05:00,"45,607.72"
01/04/2022 06:00,"48,192.44"
01/04/2022 07:00,"51,734.80"
01/04/2022 08:00,"53,582.09"
01/04/2022 09:00,"52,554.24"
01/04/2022 10:00,"50,154.36"
01/04/2022 11:00,"47,876.44"
01/04/2022 12:00,"45,796.84"
01/04/2022 13:00,"44,125.60"
01/04/2022 14:00,"42,814.67"
01/04/2022 15:00,"41,767.95"
01/04/2022 16:00,"41,255.28"
01/04/2022 17:00,"41,378.14"
01/04/2022 18:00,"42,409.80"
01/04/2022 19:00,"44,421.23"
01/04/2022 20:00,"44,336.09"
01/04/2022 21:00,"43,873.86"
01/04/2022 22:00,"42,603.75"
01/04/2022 23:00,"40,692.18"
01/04/2022 24:00,"38,846.98"
01/05/2022 01:00,"37,623.64"
01/05/2022 02:00,"37,153.44"
01/05/2022 03:00,"37,154.20"
01/05/2022 04:00,"37,663.47"
01/05/2022 05:00,"38,960.43"
01/05/2022 06:00,"41,441.00"
01/05/2022 07:00,"45,029.53"
01/05/2022 08:00,"46,821.99"
01/05/2022 09:00,"45,951.49"
01/05/2022 10:00,"44,645.47"
01/05/2022 11:00,"43,417.82"
